Filename,Std_Time_ms,Enh_Time_ms,Std_Mem_MB,Enh_Mem_MB,Std_Density,Enh_Density,Std_Repeatability_%,Enh_Repeatability_%,Std_MatchingScore_%,Enh_MatchingScore_%
PSO_AT_00002.jpeg,6291.76,119.62,2.17,11.56,126,281,44.44,81.49,96.55,100.0
PSO_AT_00007.jpeg,6421.27,2209.98,2.18,17.77,62,893,72.58,61.59,91.84,99.46
PSO_AT_00015.jpeg,6596.65,1383.56,2.2,11.89,68,621,64.71,38.0,93.62,95.55
PSO_AT_00016.jpeg,13254.99,4237.07,4.33,31.79,164,1854,52.44,51.19,90.53,95.76
PSO_AT_00021.jpeg,6609.39,41.25,2.22,11.84,58,2,46.55,0.0,81.82,0.0
PSO_AT_00023.jpeg,6582.72,1738.61,2.23,14.26,76,623,64.47,67.09,98.0,99.05
PSO_AT_00029.jpeg,6673.73,90.38,2.23,11.89,150,312,52.67,86.54,94.05,98.9
PSO_AT_00032.jpeg,6558.12,1651.75,2.23,13.25,95,676,48.42,31.07,86.79,90.52
PSO_AT_00036.jpeg,7004.77,74.65,2.34,12.5,85,131,54.12,87.79,93.88,100.0
PSO_AT_00038.jpeg,11530.72,96.56,3.86,20.6,157,26,54.78,50.0,92.47,54.17
PSO_AT_00039.jpeg,7879.44,2347.08,2.63,18.88,104,1099,57.69,85.62,93.75,99.26
PSO_AT_00046.jpeg,9076.72,2236.2,3.01,18.11,145,976,62.76,60.76,97.85,97.21
PSO_AT_00047.jpeg,6466.45,77.26,2.17,11.56,97,113,54.64,93.81,91.38,100.0
PSO_AT_00091.jpeg,10899.09,1500.19,3.5,18.68,33,756,78.79,38.89,100.0,91.88
PSO_AT_00119.jpeg,9415.94,2482.42,3.01,20.24,73,991,41.1,56.81,88.24,97.4
PSO_AT_00163.jpeg,7591.07,1429.76,2.22,11.84,56,689,58.93,46.01,89.19,95.77
PSO_DAN_00062.jpg,6407.96,66.45,2.07,11.01,507,241,45.17,18.26,97.45,77.19
PSO_DAN_00105 - Copy.jpg,14356.05,3187.44,4.62,25.63,801,1568,96.75,71.75,100.0,99.65
PSO_DAN_00165.jpg,13281.65,139.95,4.35,23.21,191,320,68.06,71.88,97.01,99.14
PSO_IS_00060.jpg,5841.42,41.45,1.99,10.63,181,1,75.69,0.0,99.28,0.0
PSO_IS_00077.jpg,15551.56,114.83,5.24,27.96,745,0,40.0,0.0,96.75,0.0
PSO_IS_00087.jpg,13625.02,131.54,4.62,24.61,800,76,94.38,73.68,99.87,98.25
PSO_IS_00118 - Copy.jpg,11078.84,124.09,3.71,19.78,137,214,23.36,62.62,86.49,98.53
PSO_IS_00119 - Copy.jpg,14368.08,113.55,4.84,25.82,530,0,52.83,0.0,97.22,0.0
PSO_IS_00131.jpg,7696.08,82.06,2.62,13.95,800,162,94.25,77.16,100.0,100.0
PSO_IS_00145.jpg,9213.23,102.74,3.11,16.56,800,301,92.88,64.78,99.73,98.48
PSO_NET_00209.jpeg,6760.94,73.26,2.32,12.36,257,187,93.0,49.73,98.35,96.88
PSO_NET_00274.jpeg,6998.49,65.98,2.32,12.36,205,84,90.73,80.95,97.38,100.0
PSO_NET_00331.jpeg,7747.28,84.15,2.32,12.36,800,166,62.62,76.51,94.35,98.45
PSO_NET_00563.jpeg,6856.7,75.67,2.32,12.36,434,127,59.68,72.44,98.85,100.0
PSO_NET_00667.jpeg,6779.74,82.55,2.32,12.36,800,186,91.5,79.03,99.73,100.0
PSO_SD_00162.jpg,6277.51,67.52,2.13,11.34,432,250,70.37,36.8,94.7,93.88
PSO_SD_00163 - Copy.jpg,6279.19,73.53,2.13,11.34,800,328,93.12,78.05,99.87,100.0
PSO_SD_00163.jpg,6611.75,81.61,2.13,11.34,800,328,93.12,78.05,99.87,100.0
PSO_SD_00168.jpg,6361.61,2550.33,2.13,20.47,800,1008,77.62,43.35,99.52,93.38
PSO_SD_00184.jpg,15920.96,6323.49,5.32,50.01,800,2689,90.25,60.32,99.31,99.63
PSO_SD_00189.jpg,7729.1,90.73,2.13,11.34,800,396,86.25,74.49,99.86,100.0
PS_MISC_00004.jpeg,10343.17,5899.5,3.09,44.38,589,2230,58.4,59.01,97.45,97.34
PS_MISC_00014.jpeg,9423.28,2815.0,3.09,21.77,302,1032,65.23,66.47,97.04,99.28
PS_MISC_00015.jpeg,9183.29,908.66,3.09,16.48,55,367,40.0,54.22,88.0,93.43
PS_MISC_00016.jpeg,9088.44,107.41,3.09,16.48,317,487,55.21,81.31,95.63,100.0
PS_MISC_00017.jpeg,9233.52,1685.45,3.09,16.48,161,876,42.86,38.13,94.52,92.78
PS_MISC_00018.jpeg,11023.55,177.75,3.09,16.48,21,69,0.0,78.26,0.0,98.18
PS_MISC_00020.jpeg,10326.09,92.87,3.09,16.48,21,140,0.0,82.14,0.0,100.0
PS_MISC_00023.jpeg,9845.15,133.06,3.09,16.48,39,238,0.0,79.41,0.0,97.93
PS_MISC_00025.jpeg,9785.29,124.82,3.09,16.48,418,408,34.21,85.29,96.62,99.71
PS_MISC_00027.jpeg,13836.23,2656.48,3.09,16.87,140,1089,50.0,43.43,98.59,96.33
PS_MISC_00028.jpeg,11394.04,1711.12,3.09,16.48,540,735,41.3,0.0,93.31,0.0
PS_MISC_00029.jpeg,11147.17,206.6,3.09,16.48,66,280,46.97,63.93,88.57,97.81
PS_MISC_00044.jpeg,10479.88,3339.42,3.09,26.22,139,1257,61.87,21.8,96.63,87.82
